,wordcount
Rajasthan,1
Rajdeep,1
Rajesh,1
Ramadan.,1
Ramzan,2
Rashtrwadi,1
Rask..,1
Rass,1
Ravish,1
Ra…,1
Re,1
Re.1,3
Real,1
Really,1
Regional,1
Remember,1
Remembering,1
Reply...,1
Report,1
Reporter,1
Respect,1
Right,4
Right..पर,1
Risk,1
River…,1
Romaana,1
Romana,8
"Romana,",1
Rs,1
Rs.Hope,1
Rss,7
Rubi,1
Rubika,9
Rupe…,1
Rusk,2
R…,1
SAD.,2
SANKAT,1
SC,1
SEE,1
SELF,1
SENSITIVE,1
SHOCKING,1
SHREE,1
SPEAK,1
SPEECH,1
ST's.,1
STOP,5
SWAN,1
Sabdda,1
Sacha,1
Sada,1
Sahi,4
Samaj,1
Sambit,2
Sanghi's.,1
Sanghthan,1
Sansu,1
Sant,4
Saralata,1
Sarap,1
Sardesai,1
Sarkar,1
Savita,2
Say,1
Says,3
Scam,1
Season,1
Sena,1
Senior,4
"Seriously,",1
Seriously..My,1
Sewing,1
Se…,1
Sh,1
Shabbir,1
Shahkot,2
Shame,3
Shameless,1
Shanti,1
Sharm,1
Sharma,1
Shayad,1
She,1
Shi,1
Shivsena,12
"Shocking,",1
Shot,2
Shouldn’t…,1
Shri,3
Shrm,1
Shukla,1
Shweta,1
Siddiqua,1
Sikh,2
Sikhna,1
SilverJu…,1
Singh,2
Sir,1
Slow,1
Smiling...be,1
So,7
Some,1
Someone,2
Sonia,1
Soniyaji,1
Spot,1
Srinivasan,1
State,3
Stay,1
Still,1
Such,1
Sundar!,1
Sunne,1
Super,2
Superb,1
Superrrrr,1
SupprBbb,1
Susashan,1
Sweta,1
TEDxPSITKanpur,1
TET,3
THE,1
THIS,1
THOOP,1
TO,8
TROLLING,1
TRP?,1
TRUE,1
TV,9
"TWEETS,VISITS,NO",2
TX,1
Tak,2
Take,2
Taki,1
Taliban,2
Tampered,1
"Tampered,",1
Tarah,2
Targeting,1
Tera,1
Tera…,1
Thank,1
Thanks,4
Thanks.,1
That,1
That's,3
That’s,1
The,31
Their,1
There,2
They,4
Thik,1
This,7
Though,3
To,1
Tobacco,14
Today's,1
Toh,2
Tomorrow,1
Transfer,1
Treadmill,6
Trolles,2
True,2
Trump,3
Truth,1
Tujhe,1
Tum,1
Tumhare,2
Tumhe,1
Tweet,2
Twitter,1
Typecasting,1
ULTI,1
UN,1
UP,3
UPA,2
UPPER,1
UPSWAN,1
UPTET,2
Ukhadne,1
Un.,3
Undoubtedly,1
Unfortunate...😬😬😬,1
Ungali,1
University’s,1
Up,1
Ur,2
Usha,1
Uska,1
Us…,1
VELVET,1
VOICE.,1
Valid,1
Varanasi,1
Varanasi:,2
Very,7
Vese,1
Vidh…,1
Vikash,1
Vohi,1
Voting,1
WB,1
WHO,1
WILL,1
WITH,2
Wa,1
Wah,1
Wahi,1
Waise,1
Watch,1
Watt-a-son,1
We,2
Welcome,1
Well,2
What,2
What's,8
When,1
Where,1
Which,1
Who,7
Why,6
Wh…,1
Widodo's,2
Will,31
With,1
Wo,2
Wonderful,3
Wondering,1
Wow,2
Wpas,1
Wwwwooowww,1
YEARS,1
YOU,2
Ya,2
Yajurved,1
Ye,13
Yeh,1
Yes,2
Yhaa,1
You,4
Your,1
Yours?,1
ZINDAGI,1
Zakir,1
Zeher,1
_कृष्णदेव,1
_शेर,1
a,47
aa,6
aab,2
aadmi,1
aagar,1
"aai,",1
aaj,8
aajtak,1
aake,1
aap,10
aapka,1
aapke,1
aapki,2
aapko,1
aapne,2
aappe,1
aata,1
aati,1
aayog,2
ab,7
ab??,1
abadi,1
abe,1
abortion,2
about,10
abp,1
absolutely,1
accha,1
achut,2
achyut,1
action,1
actions?,1
active,1
activist,1
activity,1
add,1
added,1
addresses,1
advantage…,1
advertisement,1
advising,1
aeeye,1
after,7
afternoon,1
against,1
agar,1
age,3
agende,3
agr,1
ahead,1
ahed.,1
ahsas,1
aise,3
ai…,1
alakh,1
all,15
allowed,1
almost,1
also,7
alternatives,1
always,3
am,40
amazing,1
ameen.,1
amit,1
among👇4,2
amount,3
an,4
ana,1
anchor,8
anchoring,1
and,49
ani,1
animaka,1
annd,1
announcement,1
"answers,",1
anti,3
any,4
anyone,2
an…,1
ap,2
apke,1
apko,1
apna,1
apne,2
apni,1
app,1
appears,2
appko,1
are,38
area,1
are…,1
arms…,1
arnab,3
arrear,1
artical,1
as,37
asardar,1
ask,5
asked,1
asking,1
asli,1
at,5
ati,2
atleast,2
atyachar,1
audio,1
aulad,1
aur,17
aurat,1
aur…,2
avtarit,1
awaz,1
aya,1
ayse,1
a…,6
b,3
baad,1
baat,7
babu😹😹,1
bachao,3
bache,1
bacho,2
bachpan,1
background.,1
bad,2
bada,1
badal,1
badh,2
badhate,1
badiya,1
bahar,1
bahot,1
bahut,2
baithe,1
bajane,1
baje,1
baki,1
bakt,1
bakwas,1
ban,2
bana,1
banaye…,1
band,9
bandh,2
bank'…,2
banks,2
bar,8
bare,11
barking,2
"bas,",1
base,1
basturd,1
bata,1
bataani,1
batado,1
batao,2
bataye,1
ba…,1
bcoz,1
bcz,1
bdaaa,1
be,54
bear,1
beautiful,3
beautiful...,2
"beauty,",1
because,1
bechte,1
become,5
beech,1
been,3
before,1
beggars,1
behaviour,1
behen,1
being,1
believe,3
bell,1
belong,1
besaram,1
best,1
beti,1
between,2
bhadauriya,1
bhadkane,1
bhagavane,1
bhagwan,1
bhai,3
bhai.,2
bhaiyo,2
bhajan,1
bhakto,1
bhandara,1
"bhanwar,",1
bharisa,1
bhartiyo,1
bhatia,1
bhauk,1
bhdiya,1
bhe,1
bhi,46
bhi.,1
bhno,2
