,wordcount
Nothing,11
Notification,2
Notko,2
Now,6
Nutrition,1
N…,1
OF,7
OK,6
OM,1
ON,7
ONE,12
Obivously,1
Of,1
Oh,34
Ohhh,1
Ok,2
On,8
One,3
Ooye,1
Opposition,8
Or,1
Organic,1
Our,2
Over,1
P-पेट्रोल,1
P.,13
PAID,1
PIMP,1
PLEASE,3
PLEASE…,6
PLZ!LOOK,3
PM,11
POCSO,1
POLICE,1
POSTPONE,3
PROTECT…,1
PUSH,17
PUSHED,7
PUSHING,1
Pacl…,3
Padma,1
Paid,2
Paisa?,1
Pakistan,2
Pakistan.,1
Parson,2
Party,2
Pass.,1
Pata,1
Patang,2
Patra,1
Patrakarita,1
Patronized,1
Paye,1
Pema,2
People,2
Perfect,2
Petrol,3
Petrol/Diesel,1
Petrol…,1
Peyar,1
PhD,2
Photoshop.,1
Piyush,1
Playan.,1
Please,10
Pls,2
Plz,10
Plzz,2
Plzzz,1
Polite,1
Politicians.,1
Poodle,1
Poshan,1
Postp…,1
Pradesh,27
Pranaam,1
Pranab,1
Present,1
Press,2
Presstitutes,1
Price,1
Prime,5
Protest,1
Public,1
Punishment,1
Punts,2
Puri,1
P…,1
Q,2
Qutta,1
R,1
RAIYTA,1
RAJAT,1
RATAN,1
READ,1
READ…,1
REMINDER,3
"REMINDERD,LAKHS",7
REM…,7
REQUEST,7
RIDDLED,1
RIGHT,1
RIP..,1
"RJD,",1
RLD,28
RM,3
RSS,12
RT,3734
RTI,1
Raaju,1
Raat,1
Radhekrishna,1
Raheja,1
Rahi,1
Rahul,4
Rajat,1
Rajesh,2
Ram,15
Ramadan,1
Ranbir,5
Rape,1
Ravish,2
Rav…,1
Readymade,1
Real,1
Really,13
"Really,",1
Really??,1
Rea…,1
Received,2
Record,1
Religion,2
Remind,1
Report,3
Reputed,1
Request,2
Resign,1
Respected,1
Revisiting,1
Right,8
Rightly,1
Roast,1
Rohit,1
Roz,1
Roza,1
Rs,3
Rs.,2
Rss,1
Rubbish,1
Rubika,12
SAD.,1
SALE,3
SALVAGED,3
SATH😍😎,1
SC,1
SC.,7
SECULAR,2
SELLING,1
SENSITIVE,11
SHARAM,1
SHARMA,1
SHOCKING,11
SILENT,1
SIR,3
SIT,1
SP,1
ST's.,1
STOP,21
SUSHANT,1
Saab,1
Sab,2
Sabha,4
Sad,1
Safe,2
Sahi,2
Sakht,2
Salute,1
Samiti,1
Sanghi,1
Sanghi…,1
Sanskriti,2
Sant,14
Sardana,2
Sarkar,2
Sat,2
Sau,1
Saudi,1
Savarkar...,1
Save,1
Say,3
"Sc,",1
"Sc,कर",1
